category,count
Town,3522
Star Wars,1496
Super Heroes,1110
DUPLO,987
NINJAGO,944
Friends,887
Collectible Minifigures,804
Harry Potter,636
Castle,543
Holiday & Event,383
Disney,375
LEGO Ideas,272
BrickLink Designer Program,264
Minecraft,253
Sports,252
Super Mario,229
Space,209
Pirates,198
Monkie Kid,180
LEGO Brand,162
LEGENDS OF CHIMA,155
The Hobbit and The Lord of the Rings,152
NEXO KNIGHTS,149
SPEED CHAMPIONS,143
Jurassic World,138
Games,121
Belville,116
DREAMZzz,112
The LEGO NINJAGO Movie,90
Fabuland,87
Racers,85
The LEGO Movie 2,85
Train,82
The LEGO Movie,76
Hidden Side,74
Cars,73
Elves,60
Indiana Jones,58
FIRST LEGO League,57
Teenage Mutant Ninja Turtles,54
Pirates of the Caribbean,53
Dimensions,52
For Juniors,52
Adventurers,51
BIONICLE,47
LEGOLAND,46
Vidiyo,46
Unikitty!,38
LEGOLAND Parks,37
Ultra Agents,37
Vikings,37
Aquazone,36
DC Super Hero Girls,35
Educational & Dacta,34
Technic,34
Despicable Me and Minions,33
Sonic the Hedgehog,33
Studios,33
Agents,32
SpongeBob SquarePants,32
Alpha Team,31
Power Miners,31
Spider-Man,31
Wicked,30
Primo,28
Avatar,27
Batman I,27
Scala,27
Animal Crossing,26
Atlantis,26
Toy Story,26
World Racers,26
One Piece,25
Exo-Force,24
Stranger Things,24
Trolls World Tour,23
Western,23
Monster Fighters,22
The Lone Ranger,21
Hero Factory,20
Ninja,20
The Angry Birds Movie,20
Fortnite,17
Gabby's Dollhouse,17
Prince of Persia,17
The Simpsons,17
Ghostbusters,16
Overwatch,16
FreeStyle,15
Scooby-Doo,14
Speed Racer,14
Island Xtreme Stunts,13
Pharaoh's Quest,12
Wednesday,11
Dino Attack,10
Rock Raiders,10
Star Trek,10
The Incredibles,10
Promotional,9
Time Cruisers,9
Dino,8
Dune,8
Bluey,7
Friends TV Series,7
Lightyear,7
Queer Eye,7
Avatar The Last Airbender,6
Basic,6
Building Bigger Thinking,6
Master Builder Academy,6
The Powerpuff Girls,5
Horizon,4
The Legend of Zelda,4
Clikits,3
Architecture,2
Back to the Future,2
Homemaker,2
Nike,2
Discovery,1
Fusion,1
Quatro,1
Universe,1
