id,minifig_number,img_local_path,category,category_grouped_threshold_100
1,OLD040,images/OLD040.jpg,LEGOLAND,Other
2,OLD011,images/OLD011.jpg,LEGOLAND,Other
3,OLD009,images/OLD009.jpg,LEGOLAND,Other
4,OLD009A,images/OLD009A.jpg,LEGOLAND,Other
5,OLD037,images/OLD037.jpg,LEGOLAND,Other
6,OLD050,images/OLD050.jpg,LEGOLAND,Other
7,OLD042,images/OLD042.jpg,LEGOLAND,Other
8,OLD007,images/OLD007.jpg,LEGOLAND,Other
9,OLD022,images/OLD022.jpg,LEGOLAND,Other
10,OLD013,images/OLD013.jpg,LEGOLAND,Other
11,OLD015,images/OLD015.jpg,LEGOLAND,Other
12,OLD020,images/OLD020.jpg,LEGOLAND,Other
13,OLD041,images/OLD041.jpg,LEGOLAND,Other
14,OLD023,images/OLD023.jpg,LEGOLAND,Other
15,OLD004,images/OLD004.jpg,LEGOLAND,Other
16,OLD014,images/OLD014.jpg,LEGOLAND,Other
17,OLD051,images/OLD051.jpg,LEGOLAND,Other
18,OLD019,images/OLD019.jpg,LEGOLAND,Other
19,OLD043,images/OLD043.jpg,LEGOLAND,Other
20,OLD012,images/OLD012.jpg,LEGOLAND,Other
21,OLD001,images/OLD001.jpg,LEGOLAND,Other
22,OLD005,images/OLD005.jpg,LEGOLAND,Other
23,OLD044,images/OLD044.jpg,LEGOLAND,Other
24,OLD021,images/OLD021.jpg,LEGOLAND,Other
25,OLD006,images/OLD006.jpg,LEGOLAND,Other
26,DUPFIG001R,images/DUPFIG001R.jpg,DUPLO,DUPLO
27,DUPFIG019,images/DUPFIG019.jpg,DUPLO,DUPLO
28,DUPFIG034,images/DUPFIG034.jpg,DUPLO,DUPLO
29,DUPFIG035,images/DUPFIG035.jpg,DUPLO,DUPLO
30,DUPFIG002,images/DUPFIG002.jpg,DUPLO,DUPLO
31,DUPFIG036,images/DUPFIG036.jpg,DUPLO,DUPLO
32,DUPFIG027,images/DUPFIG027.jpg,DUPLO,DUPLO
33,DUPFIG015,images/DUPFIG015.jpg,DUPLO,DUPLO
34,DUPFIG028,images/DUPFIG028.jpg,DUPLO,DUPLO
35,OLD032,images/OLD032.jpg,LEGOLAND,Other
36,OLD030,images/OLD030.jpg,LEGOLAND,Other
37,OLD010,images/OLD010.jpg,LEGOLAND,Other
38,OLD029,images/OLD029.jpg,LEGOLAND,Other
39,OLD028,images/OLD028.jpg,LEGOLAND,Other
40,OLD035,images/OLD035.jpg,LEGOLAND,Other
41,OLD008,images/OLD008.jpg,LEGOLAND,Other
42,OLD034,images/OLD034.jpg,LEGOLAND,Other
43,OLD033,images/OLD033.jpg,LEGOLAND,Other
44,OLD031,images/OLD031.jpg,LEGOLAND,Other
45,OLD025,images/OLD025.jpg,LEGOLAND,Other
46,OLD024,images/OLD024.jpg,LEGOLAND,Other
47,OLD049,images/OLD049.jpg,LEGOLAND,Other
48,OLD048,images/OLD048.jpg,LEGOLAND,Other
49,OLD038,images/OLD038.jpg,LEGOLAND,Other
50,DUPFIG020,images/DUPFIG020.jpg,DUPLO,DUPLO
51,DUPFIG001,images/DUPFIG001.jpg,DUPLO,DUPLO
52,DUPFIG041,images/DUPFIG041.jpg,DUPLO,DUPLO
