label,field,n_train,n_val,n_test,p_train_val,p_train_test,p_train_val_bonf,p_train_test_bonf,min_p,min_p_bonf,raw_flag_0_05,bonf_flag
Other,year,1798,385,387,0.8602308411959434,0.09135131972566593,1.0,1.0,0.09135131972566593,1.0,False,False
Other,year_released,1798,385,387,0.8602308411959434,0.09135131972566593,1.0,1.0,0.09135131972566593,1.0,False,False
Other,current_value_new_eur,1692,360,356,0.8901527700439666,0.3979520175235761,1.0,1.0,0.3979520175235761,1.0,False,False
Other,current_value_used_eur,1724,371,374,0.7503769732534133,0.45800453581547124,1.0,1.0,0.45800453581547124,1.0,False,False
DUPLO,year,690,148,149,0.5531073588927425,0.8470062874880291,1.0,1.0,0.5531073588927425,1.0,False,False
DUPLO,year_released,690,148,149,0.5531073588927425,0.8470062874880291,1.0,1.0,0.5531073588927425,1.0,False,False
DUPLO,current_value_new_eur,437,85,91,0.17572108888853696,0.5758121137028323,1.0,1.0,0.17572108888853696,1.0,False,False
DUPLO,current_value_used_eur,644,142,125,0.09332658075543904,0.2954275491237024,1.0,1.0,0.09332658075543904,1.0,False,False
Castle,year,380,81,82,0.4074388148407357,0.9731250410304692,1.0,1.0,0.4074388148407357,1.0,False,False
Castle,year_released,380,81,82,0.4074388148407357,0.9731250410304692,1.0,1.0,0.4074388148407357,1.0,False,False
Castle,current_value_new_eur,376,79,79,0.9652885073738937,0.42512013821560385,1.0,1.0,0.42512013821560385,1.0,False,False
Castle,current_value_used_eur,379,81,82,0.8892402959669481,0.1237579254936007,1.0,1.0,0.1237579254936007,1.0,False,False
Space,year,146,31,32,0.10289067002462797,0.2890596634617545,1.0,1.0,0.10289067002462797,1.0,False,False
Space,year_released,146,31,32,0.10289067002462797,0.2890596634617545,1.0,1.0,0.10289067002462797,1.0,False,False
Space,current_value_new_eur,143,29,32,0.8319553133516863,0.11264613936413982,1.0,1.0,0.11264613936413982,1.0,False,False
Space,current_value_used_eur,143,31,31,0.6051701650564704,0.9119634144996418,1.0,1.0,0.6051701650564704,1.0,False,False
Town,year,2465,528,529,0.406646839676312,0.9409846908207433,1.0,1.0,0.406646839676312,1.0,False,False
Town,year_released,2465,528,529,0.406646839676312,0.9409846908207433,1.0,1.0,0.406646839676312,1.0,False,False
Town,current_value_new_eur,2391,513,512,0.15842801706937323,0.18813197889681696,1.0,1.0,0.15842801706937323,1.0,False,False
Town,current_value_used_eur,2379,513,510,0.22860323220155293,0.5324393080807398,1.0,1.0,0.22860323220155293,1.0,False,False
Sports,year,176,37,39,0.7734289009020973,0.6467320531595379,1.0,1.0,0.6467320531595379,1.0,False,False
Sports,year_released,176,37,39,0.7734289009020973,0.6467320531595379,1.0,1.0,0.6467320531595379,1.0,False,False
Sports,current_value_new_eur,161,32,32,0.862596622128529,0.6166576284125286,1.0,1.0,0.6166576284125286,1.0,False,False
Sports,current_value_used_eur,168,37,39,0.9989302582271216,0.6579376583480414,1.0,1.0,0.6579376583480414,1.0,False,False
Pirates,year,138,29,31,0.42493508117994294,0.14758337631545593,1.0,1.0,0.14758337631545593,1.0,False,False
Pirates,year_released,138,29,31,0.42493508117994294,0.14758337631545593,1.0,1.0,0.14758337631545593,1.0,False,False
Pirates,current_value_new_eur,138,29,30,0.7829230271009984,0.2213510282833547,1.0,1.0,0.2213510282833547,1.0,False,False
Pirates,current_value_used_eur,138,29,31,0.21485944226879297,0.5417501881201663,1.0,1.0,0.21485944226879297,1.0,False,False
Star Wars,year,1047,224,225,0.6271113290756669,0.9341179171285492,1.0,1.0,0.6271113290756669,1.0,False,False
Star Wars,year_released,1047,224,225,0.6271113290756669,0.9341179171285492,1.0,1.0,0.6271113290756669,1.0,False,False
Star Wars,current_value_new_eur,1047,224,225,0.16478832732022317,0.9568349330685249,1.0,1.0,0.16478832732022317,1.0,False,False
Star Wars,current_value_used_eur,1045,223,224,0.3399625714162519,0.8200912736532017,1.0,1.0,0.3399625714162519,1.0,False,False
Disney,year,262,56,57,0.9634828722170533,0.7329024015807358,1.0,1.0,0.7329024015807358,1.0,False,False
Disney,year_released,262,56,57,0.9634828722170533,0.7329024015807358,1.0,1.0,0.7329024015807358,1.0,False,False
Disney,current_value_new_eur,261,56,57,0.2976599008933282,0.3820129674445738,1.0,1.0,0.2976599008933282,1.0,False,False
Disney,current_value_used_eur,237,51,50,0.2006073213409348,0.5734972985877786,1.0,1.0,0.2006073213409348,1.0,False,False
Harry Potter,year,445,95,96,0.03469844791908023,0.9993792806753332,1.0,1.0,0.03469844791908023,1.0,True,False
Harry Potter,year_released,445,95,96,0.03469844791908023,0.9993792806753332,1.0,1.0,0.03469844791908023,1.0,True,False
Harry Potter,current_value_new_eur,445,95,96,0.9887601273704777,0.23025164482766464,1.0,1.0,0.23025164482766464,1.0,False,False
Harry Potter,current_value_used_eur,412,86,92,0.7351738129284945,0.5836154150099853,1.0,1.0,0.5836154150099853,1.0,False,False
Holiday & Event,year,268,57,58,0.7127512601306408,0.18296557673776234,1.0,1.0,0.18296557673776234,1.0,False,False
Holiday & Event,year_released,268,57,58,0.7127512601306408,0.18296557673776234,1.0,1.0,0.18296557673776234,1.0,False,False
Holiday & Event,current_value_new_eur,255,56,56,0.5920397673271345,0.006049010810392388,1.0,1.0,0.006049010810392388,1.0,True,False
Holiday & Event,current_value_used_eur,237,55,55,0.1080926852637106,0.06707737302129341,1.0,1.0,0.06707737302129341,1.0,False,False
LEGO Brand,year,113,24,25,0.5630513799227905,0.152300017920848,1.0,1.0,0.152300017920848,1.0,False,False
LEGO Brand,year_released,113,24,25,0.5630513799227905,0.152300017920848,1.0,1.0,0.152300017920848,1.0,False,False
Collectible Minifigures,year,562,120,122,0.9989024688592014,0.7647943724045088,1.0,1.0,0.7647943724045088,1.0,False,False
Collectible Minifigures,year_released,562,120,122,0.9989024688592014,0.7647943724045088,1.0,1.0,0.7647943724045088,1.0,False,False
Collectible Minifigures,current_value_new_eur,562,120,122,0.37763702405119703,0.780829299807709,1.0,1.0,0.37763702405119703,1.0,False,False
Collectible Minifigures,current_value_used_eur,562,120,122,0.6588447078167481,0.9104040537815543,1.0,1.0,0.6588447078167481,1.0,False,False
NINJAGO,year,660,141,143,0.9215476487781307,0.3789575175319814,1.0,1.0,0.3789575175319814,1.0,False,False
NINJAGO,year_released,660,141,143,0.9215476487781307,0.3789575175319814,1.0,1.0,0.3789575175319814,1.0,False,False
NINJAGO,current_value_new_eur,660,141,143,0.3674824163237918,0.12361960716134611,1.0,1.0,0.12361960716134611,1.0,False,False
NINJAGO,current_value_used_eur,618,134,133,0.46679289114567646,0.14872012194299858,1.0,1.0,0.14872012194299858,1.0,False,False
Super Heroes,year,777,166,167,0.4218636014706842,0.9096421243911148,1.0,1.0,0.4218636014706842,1.0,False,False
Super Heroes,year_released,777,166,167,0.4218636014706842,0.9096421243911148,1.0,1.0,0.4218636014706842,1.0,False,False
Super Heroes,current_value_new_eur,766,166,165,0.4753275338165906,0.8855270346431341,1.0,1.0,0.4753275338165906,1.0,False,False
Super Heroes,current_value_used_eur,738,158,161,0.12645429065114203,0.6057204908860777,1.0,1.0,0.12645429065114203,1.0,False,False
The Hobbit and The Lord of the Rings,year,106,22,24,0.5975146119151628,0.9839204331962643,1.0,1.0,0.5975146119151628,1.0,False,False
The Hobbit and The Lord of the Rings,year_released,106,22,24,0.5975146119151628,0.9839204331962643,1.0,1.0,0.5975146119151628,1.0,False,False
The Hobbit and The Lord of the Rings,current_value_new_eur,106,22,24,0.6112352588145203,0.43927721108964507,1.0,1.0,0.43927721108964507,1.0,False,False
The Hobbit and The Lord of the Rings,current_value_used_eur,105,22,24,0.68559177669916,0.25622449032447386,1.0,1.0,0.25622449032447386,1.0,False,False
Friends,year,620,133,134,0.9997601766031295,0.9615404278293109,1.0,1.0,0.9615404278293109,1.0,False,False
Friends,year_released,620,133,134,0.9997601766031295,0.9615404278293109,1.0,1.0,0.9615404278293109,1.0,False,False
Friends,current_value_new_eur,611,132,131,0.36424501246390134,0.10759717753070225,1.0,1.0,0.10759717753070225,1.0,False,False
Friends,current_value_used_eur,565,122,118,0.12604578790246698,0.4412346925513262,1.0,1.0,0.12604578790246698,1.0,False,False
LEGO Ideas,year,190,40,42,0.6976675534408533,0.08981444216509346,1.0,1.0,0.08981444216509346,1.0,False,False
LEGO Ideas,year_released,190,40,42,0.6976675534408533,0.08981444216509346,1.0,1.0,0.08981444216509346,1.0,False,False
LEGO Ideas,current_value_new_eur,190,40,42,0.9386426499735063,0.28811213530635205,1.0,1.0,0.28811213530635205,1.0,False,False
LEGO Ideas,current_value_used_eur,156,32,29,0.9744955887725438,0.3702972890203294,1.0,1.0,0.3702972890203294,1.0,False,False
Minecraft,year,177,37,39,0.7217183458928208,0.6887707014123905,1.0,1.0,0.6887707014123905,1.0,False,False
Minecraft,year_released,177,37,39,0.7217183458928208,0.6887707014123905,1.0,1.0,0.6887707014123905,1.0,False,False
Minecraft,current_value_new_eur,173,36,36,0.9166878997462853,0.6116850929803088,1.0,1.0,0.6116850929803088,1.0,False,False
Minecraft,current_value_used_eur,154,35,35,0.6714836501972277,0.28241936680943086,1.0,1.0,0.28241936680943086,1.0,False,False
LEGENDS OF CHIMA,year,108,23,24,0.998740487085011,0.9999999995619275,1.0,1.0,0.998740487085011,1.0,False,False
LEGENDS OF CHIMA,year_released,108,23,24,0.998740487085011,0.9999999995619275,1.0,1.0,0.998740487085011,1.0,False,False
LEGENDS OF CHIMA,current_value_new_eur,108,23,24,0.5521430856111785,0.9950289190405243,1.0,1.0,0.5521430856111785,1.0,False,False
LEGENDS OF CHIMA,current_value_used_eur,108,23,24,0.9164104529121442,0.5961964894046247,1.0,1.0,0.5961964894046247,1.0,False,False
Jurassic World,year,96,20,22,0.7935439473904515,0.737313800792298,1.0,1.0,0.737313800792298,1.0,False,False
Jurassic World,year_released,96,20,22,0.7935439473904515,0.737313800792298,1.0,1.0,0.737313800792298,1.0,False,False
SPEED CHAMPIONS,year,100,21,22,0.9948178574382439,0.3650814893549944,1.0,1.0,0.3650814893549944,1.0,False,False
SPEED CHAMPIONS,year_released,100,21,22,0.9948178574382439,0.3650814893549944,1.0,1.0,0.3650814893549944,1.0,False,False
SPEED CHAMPIONS,current_value_new_eur,100,21,22,0.5087159089982646,0.08138607400238955,1.0,1.0,0.08138607400238955,1.0,False,False
SPEED CHAMPIONS,current_value_used_eur,95,20,22,0.41484924842264964,0.15661516920700075,1.0,1.0,0.15661516920700075,1.0,False,False
NEXO KNIGHTS,year,104,22,23,0.9806175480760436,0.9998255954829541,1.0,1.0,0.9806175480760436,1.0,False,False
NEXO KNIGHTS,year_released,104,22,23,0.9806175480760436,0.9998255954829541,1.0,1.0,0.9806175480760436,1.0,False,False
NEXO KNIGHTS,current_value_new_eur,104,22,23,0.10504958147419304,0.65870711073358,1.0,1.0,0.10504958147419304,1.0,False,False
NEXO KNIGHTS,current_value_used_eur,104,22,23,0.16325844496379296,0.8548220468289721,1.0,1.0,0.16325844496379296,1.0,False,False
BrickLink Designer Program,year,184,39,41,0.9989540061782377,0.9616603589755145,1.0,1.0,0.9616603589755145,1.0,False,False
BrickLink Designer Program,year_released,184,39,41,0.9989540061782377,0.9616603589755145,1.0,1.0,0.9616603589755145,1.0,False,False
BrickLink Designer Program,current_value_new_eur,138,29,32,0.3337808402875959,0.14219566597253347,1.0,1.0,0.14219566597253347,1.0,False,False
Monkie Kid,year,125,27,28,0.08203068603721257,0.7160973198339369,1.0,1.0,0.08203068603721257,1.0,False,False
Monkie Kid,year_released,125,27,28,0.08203068603721257,0.7160973198339369,1.0,1.0,0.08203068603721257,1.0,False,False
Monkie Kid,current_value_new_eur,125,27,28,0.3796393596556937,0.7063784594699666,1.0,1.0,0.3796393596556937,1.0,False,False
Super Mario,year,160,34,35,0.4407968464935109,0.525841043196262,1.0,1.0,0.4407968464935109,1.0,False,False
Super Mario,year_released,160,34,35,0.4407968464935109,0.525841043196262,1.0,1.0,0.4407968464935109,1.0,False,False
Super Mario,current_value_new_eur,154,34,34,0.8064342563621995,0.8098216123292734,1.0,1.0,0.8064342563621995,1.0,False,False
Super Mario,current_value_used_eur,124,30,30,0.6481456919995053,0.7747777676666672,1.0,1.0,0.6481456919995053,1.0,False,False
