label,split,field,n_total,n_nonmissing,missing_rate,mean,p25,p50,p75,min,max
__ALL__,train,year,12140,12140,0.0,2013.8576606260297,2010.0,2017.0,2022.0,1975.0,2026.0
__ALL__,train,year_released,12140,12140,0.0,2013.8576606260297,2010.0,2017.0,2022.0,1975.0,2026.0
__ALL__,train,current_value_new_eur,12140,11509,0.051976935749588137,10.424807541923713,2.53,4.58,9.26,0.0,6133.01
__ALL__,train,current_value_used_eur,12140,11373,0.06317957166392092,6.450988305636155,1.61,2.79,5.68,0.0,2191.5
__ALL__,val,year,2591,2591,0.0,2014.0200694712466,2010.0,2017.0,2022.0,1975.0,2026.0
__ALL__,val,year_released,2591,2591,0.0,2014.0200694712466,2010.0,2017.0,2022.0,1975.0,2026.0
__ALL__,val,current_value_new_eur,2591,2444,0.0567348514087225,11.793837970540098,2.49,4.51,9.1025,0.03,5146.87
__ALL__,val,current_value_used_eur,2591,2442,0.05750675414897723,6.358894348894349,1.57,2.66,5.4375,0.03,1285.61
__ALL__,test,year,2631,2631,0.0,2013.5792474344355,2009.0,2017.0,2022.0,1975.0,2026.0
__ALL__,test,year_released,2631,2631,0.0,2013.5792474344355,2009.0,2017.0,2022.0,1975.0,2026.0
__ALL__,test,current_value_new_eur,2631,2470,0.06119346256176359,9.166295546558704,2.52,4.75,9.86,0.01,293.0
__ALL__,test,current_value_used_eur,2631,2452,0.06803496769289244,6.072202283849919,1.6,2.77,5.8125,0.1,302.33
Belville,train,year,81,81,0.0,2000.851851851852,1998.0,2001.0,2004.0,1994.0,2008.0
Belville,train,year_released,81,81,0.0,2000.851851851852,1998.0,2001.0,2004.0,1994.0,2008.0
Belville,train,current_value_new_eur,81,21,0.7407407407407407,10.110952380952382,4.55,6.4,11.04,1.64,30.96
Belville,train,current_value_used_eur,81,21,0.7407407407407407,3.3104761904761904,2.28,2.91,4.66,0.35,7.92
Belville,val,year,17,17,0.0,1999.764705882353,1997.0,2000.0,2003.0,1994.0,2005.0
Belville,val,year_released,17,17,0.0,1999.764705882353,1997.0,2000.0,2003.0,1994.0,2005.0
Belville,val,current_value_new_eur,17,2,0.8823529411764706,5.375,4.2825,5.375,6.4675,3.19,7.56
Belville,val,current_value_used_eur,17,2,0.8823529411764706,2.9050000000000002,2.2525000000000004,2.9050000000000002,3.5574999999999997,1.6,4.21
Belville,test,year,18,18,0.0,1999.0,1997.0,1998.0,1999.75,1994.0,2008.0
Belville,test,year_released,18,18,0.0,1999.0,1997.0,1998.0,1999.75,1994.0,2008.0
Belville,test,current_value_new_eur,18,4,0.7777777777777778,10.2,5.4375,9.395,14.157499999999999,5.25,16.76
