label,field,n_train,n_val,n_test,ks_train_val,p_train_val,ks_train_test,p_train_test,flag_any_p_lt_0_05
DUPLO,year,690,148,149,0.07042694868781825,0.5531073588927425,0.05385662873261356,0.8470062874880291,False
DUPLO,year_released,690,148,149,0.07042694868781825,0.5531073588927425,0.05385662873261356,0.8470062874880291,False
DUPLO,current_value_new_eur,437,85,91,0.12801184547045363,0.17572108888853696,0.08756003721678779,0.5758121137028323,False
DUPLO,current_value_used_eur,644,142,125,0.11309159303647975,0.09332658075543904,0.09370186335403727,0.2954275491237024,False
Castle,year,380,81,82,0.10610786224821313,0.4074388148407357,0.056354300385109114,0.9731250410304692,False
Castle,year_released,380,81,82,0.10610786224821313,0.4074388148407357,0.056354300385109114,0.9731250410304692,False
Castle,current_value_new_eur,376,79,79,0.058914624293024506,0.9652885073738937,0.10570966873148398,0.42512013821560385,False
Castle,current_value_used_eur,379,81,82,0.06834098830580801,0.8892402959669481,0.14080700173756355,0.1237579254936007,False
Space,year,146,31,32,0.23331860362350862,0.10289067002462797,0.18493150684931506,0.2890596634617545,False
Space,year_released,146,31,32,0.23331860362350862,0.10289067002462797,0.18493150684931506,0.2890596634617545,False
Space,current_value_new_eur,143,29,32,0.12008680974198216,0.8319553133516863,0.22727272727272727,0.11264613936413982,False
Space,current_value_used_eur,143,31,31,0.14437175727498308,0.6051701650564704,0.10444394315362057,0.9119634144996418,False
Town,year,2465,528,529,0.0422452209724015,0.406646839676312,0.024992618780124005,0.9409846908207433,False
Town,year_released,2465,528,529,0.0422452209724015,0.406646839676312,0.024992618780124005,0.9409846908207433,False
Town,current_value_new_eur,2391,513,512,0.05432653151070902,0.15842801706937323,0.0524754286909243,0.18813197889681696,False
Town,current_value_used_eur,2379,513,510,0.050222586029315966,0.22860323220155293,0.038938753307123604,0.5324393080807398,False
Sports,year,176,37,39,0.1140970515970516,0.7734289009020973,0.12485431235431235,0.6467320531595379,False
Sports,year_released,176,37,39,0.1140970515970516,0.7734289009020973,0.12485431235431235,0.6467320531595379,False
Sports,current_value_new_eur,161,32,32,0.10986024844720498,0.862596622128529,0.13994565217391305,0.6166576284125286,False
Sports,current_value_used_eur,168,37,39,0.0629021879021879,0.9989302582271216,0.12454212454212454,0.6579376583480414,False
Pirates,year,138,29,31,0.17166416791604197,0.42493508117994294,0.21949509116409538,0.14758337631545593,False
Pirates,year_released,138,29,31,0.17166416791604197,0.42493508117994294,0.21949509116409538,0.14758337631545593,False
Pirates,current_value_new_eur,138,29,30,0.12668665667166418,0.7829230271009984,0.20434782608695654,0.2213510282833547,False
Pirates,current_value_used_eur,138,29,31,0.20789605197401298,0.21485944226879297,0.15240766713417483,0.5417501881201663,False
Star Wars,year,1047,224,225,0.05420248328557784,0.6271113290756669,0.03856096784463547,0.9341179171285492,False
Star Wars,year_released,1047,224,225,0.05420248328557784,0.6271113290756669,0.03856096784463547,0.9341179171285492,False
Star Wars,current_value_new_eur,1047,224,225,0.08119712784827399,0.16478832732022317,0.03652340019102197,0.9568349330685249,False
Star Wars,current_value_used_eur,1045,223,224,0.06830733580792585,0.3399625714162519,0.04548017771701982,0.8200912736532017,False
Disney,year,262,56,57,0.06992911668484188,0.9634828722170533,0.09655818936654614,0.7329024015807358,False
Disney,year_released,262,56,57,0.06992911668484188,0.9634828722170533,0.09655818936654614,0.7329024015807358,False
Disney,current_value_new_eur,261,56,57,0.13964148877941981,0.2976599008933282,0.12885662431941924,0.3820129674445738,False
Disney,current_value_used_eur,237,51,50,0.16108215438073964,0.2006073213409348,0.11738396624472573,0.5734972985877786,False
Harry Potter,year,445,95,96,0.15836782968657598,0.03469844791908023,0.03874063670411985,0.9993792806753332,True
Harry Potter,year_released,445,95,96,0.15836782968657598,0.03469844791908023,0.03874063670411985,0.9993792806753332,True
Harry Potter,current_value_new_eur,445,95,96,0.048137196924896514,0.9887601273704777,0.11453651685393258,0.23025164482766464,False
Harry Potter,current_value_used_eur,412,86,92,0.07874237976969971,0.7351738129284945,0.08706205149852259,0.5836154150099853,False
Holiday & Event,year,268,57,58,0.09812778214192197,0.7127512601306408,0.15440041173443128,0.18296557673776234,False
Holiday & Event,year_released,268,57,58,0.09812778214192197,0.7127512601306408,0.15440041173443128,0.18296557673776234,False
Holiday & Event,current_value_new_eur,255,56,56,0.10987394957983193,0.5920397673271345,0.24635854341736696,0.006049010810392388,True
Holiday & Event,current_value_used_eur,237,55,55,0.17644802454929037,0.1080926852637106,0.19048714998082086,0.06707737302129341,False
LEGO Brand,year,113,24,25,0.16851032448377581,0.5630513799227905,0.24176991150442478,0.152300017920848,False
LEGO Brand,year_released,113,24,25,0.16851032448377581,0.5630513799227905,0.24176991150442478,0.152300017920848,False
Collectible Minifigures,year,562,120,122,0.03606168446026097,0.9989024688592014,0.06481535499679132,0.7647943724045088,False
Collectible Minifigures,year_released,562,120,122,0.03606168446026097,0.9989024688592014,0.06481535499679132,0.7647943724045088,False
Collectible Minifigures,current_value_new_eur,562,120,122,0.08973902728351127,0.37763702405119703,0.06382358088792953,0.780829299807709,False
Collectible Minifigures,current_value_used_eur,562,120,122,0.0716785290628707,0.6588447078167481,0.0543142173735488,0.9104040537815543,False
NINJAGO,year,660,141,143,0.049580915538362344,0.9215476487781307,0.0824009324009324,0.3789575175319814,False
NINJAGO,year_released,660,141,143,0.049580915538362344,0.9215476487781307,0.0824009324009324,0.3789575175319814,False
NINJAGO,current_value_new_eur,660,141,143,0.08362346872985171,0.3674824163237918,0.10722610722610723,0.12361960716134611,False
NINJAGO,current_value_used_eur,618,134,133,0.07921557262232527,0.46679289114567646,0.10720977200282258,0.14872012194299858,False
Super Heroes,year,777,166,167,0.0738165015273449,0.4218636014706842,0.04664801670789695,0.9096421243911148,False
Super Heroes,year_released,777,166,167,0.0738165015273449,0.4218636014706842,0.04664801670789695,0.9096421243911148,False
Super Heroes,current_value_new_eur,766,166,165,0.07084211519708075,0.4753275338165906,0.04871429701716908,0.8855270346431341,False
Super Heroes,current_value_used_eur,738,158,161,0.10150595176837844,0.12645429065114203,0.06494807184096686,0.6057204908860777,False
The Hobbit and The Lord of the Rings,year,106,22,24,0.17066895368782162,0.5975146119151628,0.0959119496855346,0.9839204331962643,False
The Hobbit and The Lord of the Rings,year_released,106,22,24,0.17066895368782162,0.5975146119151628,0.0959119496855346,0.9839204331962643,False
The Hobbit and The Lord of the Rings,current_value_new_eur,106,22,24,0.16895368782161235,0.6112352588145203,0.1871069182389937,0.43927721108964507,False
The Hobbit and The Lord of the Rings,current_value_used_eur,105,22,24,0.15844155844155844,0.68559177669916,0.22023809523809523,0.25622449032447386,False
Friends,year,620,133,134,0.03143342226534077,0.9997601766031295,0.04634087626384208,0.9615404278293109,False
Friends,year_released,620,133,134,0.03143342226534077,0.9997601766031295,0.04634087626384208,0.9615404278293109,False
Friends,current_value_new_eur,611,132,131,0.0866810494470069,0.36424501246390134,0.11467872715233443,0.10759717753070225,False
Friends,current_value_used_eur,565,122,118,0.11545045698534745,0.12604578790246698,0.08575071246437678,0.4412346925513262,False
LEGO Ideas,year,190,40,42,0.11842105263157894,0.6976675534408533,0.20676691729323307,0.08981444216509346,False
LEGO Ideas,year_released,190,40,42,0.11842105263157894,0.6976675534408533,0.20676691729323307,0.08981444216509346,False
LEGO Ideas,current_value_new_eur,190,40,42,0.0881578947368421,0.9386426499735063,0.162406015037594,0.28811213530635205,False
LEGO Ideas,current_value_used_eur,156,32,29,0.08733974358974358,0.9744955887725438,0.1781609195402299,0.3702972890203294,False
Minecraft,year,177,37,39,0.11971293327225531,0.7217183458928208,0.12081703607127336,0.6887707014123905,False
Minecraft,year_released,177,37,39,0.11971293327225531,0.7217183458928208,0.12081703607127336,0.6887707014123905,False
Minecraft,current_value_new_eur,173,36,36,0.09617854849068722,0.9166878997462853,0.13326910725754657,0.6116850929803088,False
Minecraft,current_value_used_eur,154,35,35,0.12987012987012986,0.6714836501972277,0.17922077922077922,0.28241936680943086,False
LEGENDS OF CHIMA,year,108,23,24,0.07890499194847021,0.998740487085011,0.046296296296296294,0.9999999995619275,False
LEGENDS OF CHIMA,year_released,108,23,24,0.07890499194847021,0.998740487085011,0.046296296296296294,0.9999999995619275,False
LEGENDS OF CHIMA,current_value_new_eur,108,23,24,0.17351046698872785,0.5521430856111785,0.08796296296296297,0.9950289190405243,False
LEGENDS OF CHIMA,current_value_used_eur,108,23,24,0.11916264090177134,0.9164104529121442,0.16666666666666666,0.5961964894046247,False
Jurassic World,year,96,20,22,0.15,0.7935439473904515,0.15246212121212122,0.737313800792298,False
Jurassic World,year_released,96,20,22,0.15,0.7935439473904515,0.15246212121212122,0.737313800792298,False
SPEED CHAMPIONS,year,100,21,22,0.09142857142857143,0.9948178574382439,0.20727272727272728,0.3650814893549944,False
SPEED CHAMPIONS,year_released,100,21,22,0.09142857142857143,0.9948178574382439,0.20727272727272728,0.3650814893549944,False
SPEED CHAMPIONS,current_value_new_eur,100,21,22,0.18714285714285714,0.5087159089982646,0.2872727272727273,0.08138607400238955,False
SPEED CHAMPIONS,current_value_used_eur,95,20,22,0.20789473684210527,0.41484924842264964,0.2569377990430622,0.15661516920700075,False
NEXO KNIGHTS,year,104,22,23,0.10139860139860139,0.9806175480760436,0.07023411371237458,0.9998255954829541,False
NEXO KNIGHTS,year_released,104,22,23,0.10139860139860139,0.9806175480760436,0.07023411371237458,0.9998255954829541,False
NEXO KNIGHTS,current_value_new_eur,104,22,23,0.2744755244755245,0.10504958147419304,0.1596989966555184,0.65870711073358,False
NEXO KNIGHTS,current_value_used_eur,104,22,23,0.2526223776223776,0.16325844496379296,0.13127090301003344,0.8548220468289721,False
BrickLink Designer Program,year,184,39,41,0.061036789297658864,0.9989540061782377,0.08191940615058324,0.9616603589755145,False
BrickLink Designer Program,year_released,184,39,41,0.061036789297658864,0.9989540061782377,0.08191940615058324,0.9616603589755145,False
BrickLink Designer Program,current_value_new_eur,138,29,32,0.18565717141429286,0.3337808402875959,0.21829710144927536,0.14219566597253347,False
Monkie Kid,year,125,27,28,0.25955555555555554,0.08203068603721257,0.138,0.7160973198339369,False
Monkie Kid,year_released,125,27,28,0.25955555555555554,0.08203068603721257,0.138,0.7160973198339369,False
Monkie Kid,current_value_new_eur,125,27,28,0.18488888888888888,0.3796393596556937,0.13942857142857143,0.7063784594699666,False
Super Mario,year,160,34,35,0.15735294117647058,0.4407968464935109,0.1455357142857143,0.525841043196262,False
Super Mario,year_released,160,34,35,0.15735294117647058,0.4407968464935109,0.1455357142857143,0.525841043196262,False
Super Mario,current_value_new_eur,154,34,34,0.11535523300229182,0.8064342563621995,0.11497326203208556,0.8098216123292734,False
Super Mario,current_value_used_eur,124,30,30,0.14301075268817204,0.6481456919995053,0.12741935483870967,0.7747777676666672,False
